market_id,source_url,coordinate_source_url,coordinate_type,verification,retrieved_at,note
NM051,https://tonightmarkets.com/night-markets/night-market-0044,https://tonightmarkets.com/night-markets/night-market-0044,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM052,https://tonightmarkets.com/night-markets/night-market-0022,https://tonightmarkets.com/night-markets/night-market-0022,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM053,https://tonightmarkets.com/night-markets/night-market-8740,https://tonightmarkets.com/night-markets/night-market-8740,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM054,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=70&chk=f7f9ba4a-48ae-4d4c-a589-1a745e46599e&param=pn%3d2%26mid%3d26%26id%3d74,https://www.openstreetmap.org/way/548732927,approximate_street_point,official_listing,2026-09-19,官方名冊有夜市；座標為 Nominatim 回傳之所在道路代表點，不代表攤集範圍中心或入口，暫不產生近鄰關聯。
NM055,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=66&chk=43db6c9a-15e4-4a9d-87d1-1d9f94caa6ba&param=pn%3d2%26mid%3d26%26id%3d74,https://newtaipei.travel/zh-tw/Attractions/Detail/107424,official_representative_point,official_listing,2026-09-19,官方觀光景點代表點；非實測入口。
NM056,https://tonightmarkets.com/night-markets/night-market-0050,https://tonightmarkets.com/night-markets/night-market-0050,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM057,https://tonightmarkets.com/night-markets/night-market-0043,https://tonightmarkets.com/night-markets/night-market-0043,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM058,https://tonightmarkets.com/night-markets/night-market-6135,https://tonightmarkets.com/night-markets/night-market-6135,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM059,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=72&chk=93b3bf3a-9a22-4419-a777-220175107e6f&param=pn%3d1%26mid%3d26%26id%3d74,https://www.openstreetmap.org/way/98396328,approximate_street_point,official_listing,2026-09-19,官方名冊有夜市；座標為 Nominatim 回傳之所在道路代表點，不代表攤集範圍中心或入口，暫不產生近鄰關聯。
NM060,https://tonightmarkets.com/night-markets/night-market-0037,https://tonightmarkets.com/night-markets/night-market-0037,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM061,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=73&chk=0893b8d8-00f6-492c-b971-a777d0c00b63&param=pn%3d1%26mid%3d26%26id%3d74,https://tonightmarkets.com/night-markets/night-market-0038,location_needs_review,official_listing,2026-09-19,官方營業範圍與民間地圖的地址版本不同；座標保留供查核，暫不產生捷運近鄰關聯。
NM062,https://tonightmarkets.com/night-markets/night-market-0003,https://tonightmarkets.com/night-markets/night-market-0003,published_point,community_listing,2026-09-19,座標另與夜市整理頁所附地圖交叉比對；位置非捷運可直接抵達。
NM063,https://tonightmarkets.com/night-markets/night-market-0002,https://tonightmarkets.com/night-markets/night-market-0002,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM064,https://tonightmarkets.com/night-markets/night-market-0001,https://tonightmarkets.com/night-markets/night-market-0001,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
